230;Abgemacht!;It´s a date.;2021-12-31;Station 1|Unit 2|Kl. 6
231;großartig|toll;gr8 (great);2021-12-31;Station 1|Unit 2|Kl. 6
232;Bis später;CU (See you!);2021-12-31;Station 1|Unit 2|Kl. 6
233;Bushaltestelle;bus stop;2021-12-31;Station 1|Unit 2|Kl. 6
234;Du bist fantastisch.;You´re a star.;2021-12-31;Station 1|Unit 2|Kl. 6
235;Stiefel;boot;2021-12-31;Station 1|Unit 2|Kl. 6
236;eine SMS schreiben;text;2021-12-31;Station 1|Unit 2|Kl. 6
237;Website;website;2021-12-31;Station 1|Unit 2|Kl. 6
238;Vokabular|Wortschatz;vokabulary;2021-12-31;Station 1|Unit 2|Kl. 6
239;Spieler|Spielerin;player;2021-12-31;Way in|Unit 2|Kl. 6
240;Menschenmenge;crowd;2021-12-31;Way in|Unit 2|Kl. 6
241;Preis;prize;2021-12-31;Way in|Unit 2|Kl. 6
242;Bühne;stage;2021-12-31;Way in|Unit 2|Kl. 6
243;organiesiren;organize;2021-12-31;Way in|Unit 2|Kl. 6
244;Flohmarkt;jumble sale;2021-12-31;Way in|Unit 2|Kl. 6
245;sich fühlen|Angst haben;be arfraid;2021-12-31;Way in|Unit 2|Kl. 6
246;anderen;others;2021-12-31;Way in|Unit 2|Kl. 6
247;Du schaffst es!;You can do it!;2021-12-31;Way in|Unit 2|Kl. 6
248;zeichnen;draw;2021-12-31;Way in|Unit 2|Kl. 6
249;Bild;picture;2021-12-31;Way in|Unit 2|Kl. 6
250;Aufgabe|Tätigkeit;job;2021-12-31;Way in|Unit 2|Kl. 6
251;Star;star;2021-12-31;Way in|Unit 2|Kl. 6
252;Wie man...;How to...;2021-12-31;Viewing skills|Unit 1|Kl. 6
253;höflich;polite;2021-12-31;Viewing skills|Unit 1|Kl. 6
254;Szene;scene;2021-12-31;Viewing skills|Unit 1|Kl. 6
255;laufen;walk;2021-12-31;Viewing skills|Unit 1|Kl. 6
256;zeigen;show;2021-12-31;Viewing skills|Unit 1|Kl. 6
257;kennen lernen;get to know;2021-12-31;Viewing skills|Unit 1|Kl. 6
258;Was man...;What to...;2021-12-31;Viewing skills|Unit 1|Kl. 6
259;Situation;situation;2021-12-31;Viewing skills|Unit 1|Kl. 6
260;beste;best;2021-12-31;Viewing skills|Unit 1|Kl. 6
261;Warteschlange;queue;2021-12-31;Viewing skills|Unit 1|Kl. 6
262;Rolltreppe;escalator;2021-12-31;Viewing skills|Unit 1|Kl. 6
263;aufwachen;wake up;2021-12-31;Viewing skills|Unit 1|Kl. 6
264;sich entschuldigen;say sorry;2021-12-31;Viewing skills|Unit 1|Kl. 6
265;zwischen;between;2021-12-31;Film corner|Unit 1|Kl. 6
266;Versuch;experiment;2021-12-31;Film corner|Unit 1|Kl. 6
267;hast du;have you got;2021-12-31;Film corner|Unit 1|Kl. 6
268;Comic(heft);comic;2021-12-31;Film corner|Unit 1|Kl. 6
269;ruinieren|zerstören;ruin;2021-12-31;Film corner|Unit 1|Kl. 6
270;brechen|zerbrechen;break;2021-12-31;Film corner|Unit 1|Kl. 6
271;absichtlich;on purpose;2021-12-31;Film corner|Unit 1|Kl. 6
272;wahr;true;2021-12-31;Film corner|Unit 1|Kl. 6
273;Hör(t) auf!;Stop it!;2021-12-31;Film corner|Unit 1|Kl. 6
274;recht haben;be right;2021-12-31;Film corner|Unit 1|Kl. 6
